objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
capitolmine001,Capitol_Mine.jpg,Folder Contents,Capitol Mine Folder Contents,Capitol Mine,,Lode,,,Folder Contents,Contents; Capitol Mine,Beaverhead,Beaverhead,Argenta,6S,10W,5,45.3481,-112.8519,,,Image;StillImage,image/jpeg,eng,Cave Gulch,,
carbonatemine001,Carbonate_Mine.jpg,Folder Contents,Carbonate Mine Folder Contents,Carbonate Mine,,Lode,,,Folder Contents,Contents; Carbonate Mine,Beaverhead,Beaverhead,Argenta,6S,10W,18,45.3097,-112.8881,,,Image;StillImage,image/jpeg,eng,"Rena, Coolidge Mine, Groundhog, Argenta, Goodview, Midnight",,
carrollplacer001,Carroll_Placer.jpg,Folder Contents,Carroll Placer Folder Contents,Carroll Placer,4042,Placer,,,Folder Contents,Contents; Carroll Placer,Beaverhead,Beaverhead,Unorganized,1S,10W,25,45.72169,-112.78361,,,Image;StillImage,image/jpeg,eng,,,
cartercreekiron001,Carter_Creek_Iron.jpg,Folder Contents,Carter Creek Iron Folder Contents,Carter Creek Iron,,Lode,,,Folder Contents,Contents; Carter Creek Iron,Beaverhead,Beaverhead,Ruby,8S,7W,9,45.1436,-112.46,,,Image;StillImage,image/jpeg,eng,Carter Creek Iron,,
centennialmine001,Centennial_Mine.jpg,Folder Contents,Centennial Mine Folder Contents,Centennial Mine,,Lode,,,Folder Contents,Contents; Centennial Mine,Beaverhead,Beaverhead,Wisdom,15S,1W,2,44.5578,-111.6883,,,Image;StillImage,image/jpeg,eng,Centennial Mine,,
central001,Central_Lode.jpg,Folder Contents,Central Lode Folder Contents,Central Lode,9847,Lode,,,Folder Contents,Contents; Central Lode,Beaverhead,Beaverhead,Elkhorn (Collidge/Wise River),4S,12W,14,45.487,-113.049,,,Image;StillImage,image/jpeg,eng,,,
charteroakmine001,Charter_Oak.jpg,Folder Contents,Charter Oak Folder Contents,Charter Oak,,Lode,,,Folder Contents,Contents; Charter Oak,Beaverhead,Beaverhead,Blue Wing,8S,11W,4,45.1683,-112.9567,,,Image;StillImage,image/jpeg,eng,"Around Ingersoll, Blue Grass, Gold Bug, Golden Leaf",,
chinatown001,Chinatown.jpg,Folder Contents,Chinatown Folder Contents,Chinatown,,Lode,,,Folder Contents,Contents; Chinatown,Beaverhead,Beaverhead,Chinatown,11S,13W,3,,,,,Image;StillImage,image/jpeg,eng,,,
chloride001,Chloride.jpg,Folder Contents,Chloride Folder Contents,Chloride,,Lode,,,Folder Contents,Contents; Chloride,Beaverhead,Beaverhead,Bryant,,,,,,,,Image;StillImage,image/jpeg,eng,"Gopher, Crown Point",,
churchill001,Churchill.jpg,Folder Contents,Churchill Folder Contents,Churchill,,Lode,,,Folder Contents,Contents;Churchill,Beaverhead,Beaverhead,Vipond,1S,10W,5,45.7786,-112.8747,,,Image;StillImage,image/jpeg,eng,Churchill Mine,,
cleopatra001,Cleopatra.jpg,Folder Contents,Cleopatra Folder Contents,Cleopatra,,Lode,,,Folder Contents,Contents;Cleopatra,Beaverhead,Beaverhead,Bryant,3S,11W,3,45.604123,-112.939745,,,Image;StillImage,image/jpeg,eng,"Hecla Mine, Ariadne, Cleve, Avon, Franklin, Trapper, Alta, Mark Anthony, Oneida, Condor, Pride Of The West, Minnie Gafney, Atlantis, True Fissure, Keokuk, Helene Kaufman; Everest & Glendale Millsites",,
