objectid,filename,title,claim,claim number,claim type,creator,date,description,subject,location,county,district,latitude,longitude,township,range,section,source,identifier,type,format,language,associated names,rightsstatement,,,,
black bear001,Black Bear.jpg,Black Bear Folder Contents,Black Bear,3405,Lode,,,Folder Content Sheets,Contents; Black Bear,Black Bear,Jefferson,Cataract,46.3492,-112.2439,07N,05W,21,,,Image;StillImage,image/jpeg,eng,One Mile West Of Eva May,,,,,
black butte001,Black Butte.jpg,Black Butte Folder Contents,Black Butte,,Lode,,,Folder Content Sheets,Contents; Black Butte,Black Butte,Jefferson,Whitehall,45.961967,-112.073759,02N,04W,2,,,Image;StillImage,image/jpeg,eng,Orvana Reconnaissance,,,,,
black canyon placer001,Black Canyon Placer.jpg,Black Canyon Placer Folder Contents,Black Canyon Placer,,Placer,,,Folder Content Sheets,Contents; Black Canyon Placer,Black Canyon Placer,Jefferson,Elk Park,46.0096,-112.43368,03N,07W,14,,,Image;StillImage,image/jpeg,eng,Black Canyon Placer,,,,,
black jack001,Black Jack.jpg,Black Jack Folder Contents,Black Jack,8897,Lode,,,Folder Content Sheets,Contents; Black Jack,Black Jack,Jefferson,Colorado,46.3857,-112.08978,07N,04W,3,,,Image;StillImage,image/jpeg,eng,Black Jack,,,,,
black jim001,Black Jim.jpg,Black Jim Folder Contents,Black Jim,8025,Lode,,,Folder Content Sheets,Contents; Black Jim,Black Jim,Jefferson,N/A,46.27856,-112.21968,06N,05W,15,,,Image;StillImage,image/jpeg,eng,Black Jim,,,,,
black patch001,Black Patch.jpg,Black Patch Folder Contents,Black Patch,,Lode,,,Folder Content Sheets,Contents; Black Patch,Black Patch,Jefferson,High Ore,46.30099,-112.17301,06N,05W,1,,,Image;StillImage,image/jpeg,eng,Black Patch,,,,,
black rock001,Black Rock.jpg,Black Rock Folder Contents,Black Rock,8940,Lode,,,Folder Content Sheets,Contents; Black Rock,Black Rock,Jefferson,Colorado,46.37141,-112.13276,07N,04W,8,,,Image;StillImage,image/jpeg,eng,1/2 Mi. N. Of Silver Tip Mine,,,,,
black sheep001,Black Sheep.jpg,Black Sheep Folder Contents,Black Sheep,5895,Lode,,,Folder Content Sheets,Contents; Black Sheep,Black Sheep,Jefferson,Homestake,45.99773,-112.33715,03N,06W,22,,,Image;StillImage,image/jpeg,eng,,,,,,
blackbird property001,Blackbird Property.jpg,Blackbird Property Folder Contents,Blackbird Property,6637,Lode,,,Folder Content Sheets,Contents; Blackbird Property,Blackbird Property,Jefferson,Clancy,46.4269,-112.0894,08N,04W,22,,,Image;StillImage,image/jpeg,eng,"Adjoin The Snowdrift, Spring Claims",,,,,
blackjack001,Blackjack.jpg,Blackjack Folder Contents,Blackjack,,Lode,,,Folder Content Sheets,Contents; Blackjack,Blackjack,Jefferson,Elkhorn,46.3133,-111.8728,07N,02W,32,,,Image;StillImage,image/jpeg,eng,Blackjack,,,,,
blackwell001,Blackwell.jpg,Blackwell Folder Contents,Blackwell,5757,Lode,,,Folder Content Sheets,Contents; Blackwell,Blackwell,Jefferson,Homestake,45.9633,-112.4122,03N,07W,36,,,Image;StillImage,image/jpeg,eng,"Aka Kendall, Homestake",,,,,
bland001,Bland.jpg,Bland Folder Contents,Bland,9199,Lode,,,Folder Content Sheets,Contents; Bland,Bland,Jefferson,Boulder,46.141755,-112.26774,05N,05W,31,,,Image;StillImage,image/jpeg,eng,"Adjoin Victoria, Colly, Fergus, Independence",,,,,
blind trail001,Blind Trail.jpg,Blind Trail Folder Contents,Blind Trail,10389,Lode,,,Folder Content Sheets,Contents; Blind Trail,Blind Trail,Jefferson,High Ore,46.27034,-112.19356,06N,05W,14,,,Image;StillImage,image/jpeg,eng,,,,,,
blizzard001,Blizzard.jpg,Blizzard Folder Contents,Blizzard,5456,Lode,,,Folder Content Sheets,Contents; Blizzard,Blizzard,Jefferson,Colorado,46.36083,-112.141,07N,04W,17,,,Image;StillImage,image/jpeg,eng,"Group Includes Blizzard No. 2, Deer, Deer Extension, Wickes, & Houghton",,,,,
blue bird001,Blue Bird.jpg,Blue Bird Folder Contents,Blue Bird,3203,Lode,,,Folder Content Sheets,Contents; Blue Bird,Blue Bird,Jefferson,Colorado,46.360833,-112.140556,07N,05W,13,,,Image;StillImage,image/jpeg,eng,"Group Includes Evening Star, Escanaba, Blue Bell, Black Bird, Pen Yan",,,,,
blue jay001,Blue Jay.jpg,Blue Jay Folder Contents,Blue Jay,8583,Lode,,,Folder Content Sheets,Contents; Blue Jay,Blue Jay,Jefferson,High Ore,46.29579,-112.19671,06N,05W,2,,,Image;StillImage,image/jpeg,eng,,,,,,
blue moose001,Blue Moose.jpg,Blue Moose Folder Contents,Blue Moose,,Lode,,,Folder Content Sheets,Contents; Blue Moose,Blue Moose,Jefferson,Whitehall,45.9033,-112.0092,02N,03W,29,,,Image;StillImage,image/jpeg,eng,Blue Moose,,,,,
blue ridge001,Blue Ridge.jpg,Blue Ridge Folder Contents,Blue Ridge,1856,Lode,,,Folder Content Sheets,Contents; Blue Ridge,Blue Ridge,Jefferson,Homestake,46.02664,-112.31689,03N,06W,11,,,Image;StillImage,image/jpeg,eng,,,,,,
blue stone001,Blue Stone.jpg,Blue Stone Folder Contents,Blue Stone,,Lode,,,Folder Content Sheets,Contents; Blue Stone,Blue Stone,Jefferson,Colorado,46.351,-112.15198,07N,04W,18,,,Image;StillImage,image/jpeg,eng,A/K/A Nespelim; 1/2 Mi. Above Salvail Mine,,,,,
bluebell001,Bluebell.jpg,Bluebell Folder Contents,Bluebell,8962,Lode,,,Folder Content Sheets,Contents; Bluebell,Bluebell,Jefferson,Pipestone,45.9658,-112.3198,03N,06W,35,,,Image;StillImage,image/jpeg,eng,A/K/A Marsh Mine,,,,,
bob001,Bob.jpg,Bob Folder Contents,Bob,7909,Lode,,,Folder Content Sheets,Contents; Bob,Bob,Jefferson,Elk Park,46.031309,-112.445087,03N,07W,11,,,Image;StillImage,image/jpeg,eng,"Adjoins Navarre, Otto, Ada, Divide",,,,,
bob ingersoll001,Bob Ingersoll.jpg,Bob Ingersoll Folder Contents,Bob Ingersoll,8819,Lode,,,Folder Content Sheets,Contents; Bob Ingersoll,Bob Ingersoll,Jefferson,Amazon,46.32366,-112.10704,07N,04W,28,,,Image;StillImage,image/jpeg,eng,1000' North Of West Portal Of Wickes Tunnel Of Gnrr,,,,,
bob lode001,Bob Lode.jpg,Bob Lode Folder Contents,Bob Lode,,Lode,,,Folder Content Sheets,Contents; Bob Lode,Bob Lode,Jefferson,Elkhorn,46.2497,-111.9483,06N,03W,26,,,Image;StillImage,image/jpeg,eng, 1/4 Mile N.E. Of Tacoma Park,,,,,
bonanza001,Bonanza.jpg,Bonanza Folder Contents,Bonanza,,Lode,,,Folder Content Sheets,Contents; Bonanza,Bonanza,Jefferson,Colorado,46.3717,112.1564,07N,04W,7,,,Image;StillImage,image/jpeg,eng,Head Of Clancy Creek,,,,,
bonanza jack001,Bonanza Jack.jpg,Bonanza Jack Folder Contents,Bonanza Jack,2163,Lode,,,Folder Content Sheets,Contents; Bonanza Jack,Bonanza Jack,Jefferson,Basin,46.2722,-112.2794,06N,05W,18,,,Image;StillImage,image/jpeg,eng,Bonanza Jack,,,,,
bosphorus001,Bosphorus.jpg,Bosphorus Folder Contents,Bosphorus,9090,Lode,,,Folder Content Sheets,Contents; Bosphorus,Bosphorus,Jefferson,Mc Clellan,46.48,-111.8608,08N,02W,4,,,Image;StillImage,image/jpeg,eng,Bosphorus,,,,,
boulder001,Boulder.jpg,Boulder Folder Contents,Boulder,1336,Lode,,,Folder Content Sheets,Contents; Boulder,Boulder,Jefferson,Basin,46.29056,-112.2225,06N,05W,10,,,Image;StillImage,image/jpeg,eng,East Of Big Limber Gulch,,,,,
