title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Bostania Folder Contents","","","Folder Contents","Contents; Bostania","Beaverhead","46.0972","-113.0569","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bostania_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bostania.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bostania001.html"
"Boston Group Folder Contents","","","Folder Contents","Contents; Boston Group","Beaverhead","45.4894","-113.0458","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/boston_group_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Boston_Group.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bostongroup001.html"
"Bozeadar Folder Contents","","","Folder Contents","Contents; Bozeadar","Beaverhead","45.39931","-112.92735","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bozeadar_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bozeadar.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bozeadar001.html"
"Bozo Folder Contents","","","Folder Contents","Contents; Bozo","Beaverhead","45.1536","-112.50828","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bozo_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bozo.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bozo001.html"
"Brown Bear Folder Contents","","","Folder Contents","Contents; Brown Bear","Beaverhead","44.94069","-113.4423","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/brown_bear_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Brown_Bear.jpg","/Information/Collections/Mine-Files/Beaverhead/items/brownbear001.html"
"Browns Lake Folder Contents","","","Folder Contents","Contents; Brown&#39;s Lake","Beaverhead","45.51744","-112.82572","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/browns_lake_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Browns_Lake.jpg","/Information/Collections/Mine-Files/Beaverhead/items/brownslake001.html"
"Burgierosa Folder Contents","","","Folder Contents","Contents; Burgierosa","Beaverhead","45.70694","-112.94778","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/burgierosa_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Burgierosa.jpg","/Information/Collections/Mine-Files/Beaverhead/items/burgierosa001.html"
"Buster Folder Contents","","","Folder Contents","Contents; Buster","Beaverhead","45.3885","-112.88339","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/buster_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Buster.jpg","/Information/Collections/Mine-Files/Beaverhead/items/buster001.html"
"Butte Vipond Mining Co Folder Contents","","","Folder Contents","Contents; Butte Vipond Mining Co.","Beaverhead","","","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/butte_vipond_mining_co_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Butte_Vipond_Mining_Co.jpg","/Information/Collections/Mine-Files/Beaverhead/items/buttevipondmine001.html"
"Calvert Folder Contents","","","Folder Contents","Contents; Calvert","Beaverhead","45.8481","-113.1514","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/calvert_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Calvert.jpg","/Information/Collections/Mine-Files/Beaverhead/items/calvert001.html"
"Camp Creek Folder Contents","","","Folder Contents","Contents; Camp Creek","Beaverhead","45.1003","-112.5228","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/camp_creek_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Camp_Creek.jpg","/Information/Collections/Mine-Files/Beaverhead/items/campcreek001.html"
