location,count,link
"sleeping princess group",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#sleeping%20princess%20group"
"smith dillon talc",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#smith%20dillon%20talc"
"southside placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#southside%20placer"
"spanish",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#spanish"
"springfield",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#springfield"
"star 123",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#star%20123"
"starlight t6s r10w s22",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#starlight%20t6s%20r10w%20s22"
"starlight t6s r11w s24",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#starlight%20t6s%20r11w%20s24"
"starlight t10s r14w s5",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#starlight%20t10s%20r14w%20s5"
"stone creek",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#stone%20creek"
"storm",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#storm"
"sunshine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#sunshine"
"sweeney t7s r12w s22",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#sweeney%20t7s%20r12w%20s22"
"sweeney  t13s r12w s1",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#sweeney%20%20t13s%20r12w%20s1"
"sylvia",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#sylvia"
"telstar",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#telstar"
"tender",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#tender"
"thomas paine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#thomas%20paine"
"thunderbird",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#thunderbird"
"tiger",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#tiger"
"trapper",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#trapper"
"trapper creek",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#trapper%20creek"
"tri-state minerals",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#tri-state%20minerals"
"true blue millsite",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#true%20blue%20millsite"
"true dog group",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#true%20dog%20group"
"true fissure",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#true%20fissure"
"tungsten - general",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#tungsten%20-%20general"
"tuscarora",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#tuscarora"
